id	AIM2	ARG1	CD4	CSF1R	F5	IER3	IL18R1	IL1R2	IRAK3	ORM1	RNASE2	S100A12	S100A9	SLPI	STK17B	TNFAIP6	TNFSF14	TPST1	VCAN	VNN1	Type
Train.GSE15573_GSM389730_Treat	1.87174534918916	0.913049943070599	5.97067643763106	6.18233202247595	3.56486221326928	3.40126525447983	1.41702789245994	1.67940405340497	0.751437167894498	3.2268880283927	2.14873368076303	3.69849169940725	3.05972387109597	2.60501294106825	3.97408126612299	-0.353966517669018	3.57896606541609	2.52726264267883	5.66981176294061	-0.256881381325627	1
Train.GSE15573_GSM389731_Treat	4.19035497368927	4.56471590893697	4.85767947912005	3.83614074354769	4.9041577697138	4.78974568942632	3.77513483632742	4.33200416178468	3.66754668493097	4.13911371678395	2.08196750904391	6.29844773122093	5.97532932066054	3.72675557664765	5.50406287789784	3.84121147577266	5.0687081628103	4.54270257129628	5.71115381569756	1.20698314861782	1
Train.GSE15573_GSM389733_Treat	2.52695103070611	2.60044394556865	4.32702286730034	1.73864248865586	1.11859346850507	4.1091901122157	2.47297770264317	1.10328087332954	1.36072467962359	2.32184624453813	2.70831210267184	4.27038968007795	3.91769456280987	2.38227997838403	4.86936956166563	2.65803868747317	1.87297448000445	2.66594616043701	4.88994586321658	0.542481249935122	1
Train.GSE15573_GSM389735_Treat	4.25842438825698	1.70909349176376	5.65030171220604	4.22160716961455	3.12547989392649	3.96725480522372	2.37014165242776	1.82940162057151	1.61491554071881	2.57494664148748	2.19362559799924	5.25969660287289	4.20579427101879	2.75113329804988	4.4485940560445	3.954086767571	2.90098649952263	2.35745123861814	5.36552503145828	-0.549194125188155	1
Train.GSE7669_GSM185531_Control	2.88922666145512	1.1177068305913	5.54785189294748	5.2037179061252	1.87139080624276	4.15482721494183	2.17100441878176	2.24047197190656	2.80061238363333	3.43218798747881	2.55016033920498	3.86684683989386	3.44708236936028	0.424617275503824	5.01053249128648	2.23194435778389	2.96735863432276	2.48130099374444	3.96617370613159	-0.408613429694756	0
Train.GSE7669_GSM185532_Control	2.13849586101106	2.50363481859262	4.81041966564484	2.97627772999198	2.79160921350878	3.83703726845748	2.06630579924792	2.24176938357871	1.26607031324282	2.76810736005941	1.03887524328214	4.09791256746573	5.53850343845134	0.357735911405991	4.24316889582112	-0.599449745060582	2.8131986852636	2.44032734185207	2.80459779521863	0.303137675138834	0
Train.GSE7669_GSM185533_Control	2.33898739998362	2.28946440414026	4.78651600944973	4.68320024515339	2.53013297855349	5.5739639330209	1.90382308316606	3.78427464654144	1.72854236866753	3.49652124674155	0.67986311749058	3.19811081965928	4.10879563557517	3.2628908626994	4.12611537897611	2.72684394857444	4.37421747078756	3.09848495155279	4.40356680183864	0.802271724610893	0
Train.GSE7669_GSM185534_Control	1.26739028610527	0.919225562443074	5.47198058342414	5.9358529798959	2.21230877331871	5.52165778480724	2.21718555509843	2.5051542955456	2.00953571232513	3.14172062589315	2.58808666582853	1.18165267033073	4.19853577448248	4.63809941447669	4.49398965582243	3.07400868784539	2.91913937739962	3.28532762170411	3.55541965981114	-0.135044325139163	0
Train.GSE7669_GSM185535_Control	2.49119516972768	3.12679535201551	5.00957666695402	4.7585556774686	2.7826987477962	3.34198639551662	1.88897544251977	1.58906214144195	1.3861887220908	1.61420294485974	-0.351287431723214	3.48834896081804	5.32058053086875	2.04313815253599	3.88610672860761	0.928906443088989	2.89312337273101	2.76716810041058	3.12748033506387	-0.794586072525299	0
Train.GSE7669_GSM185536_Control	2.41582881845062	0.0831075075202736	4.87899614192781	4.78494208819863	4.33510537585942	3.23433203767298	1.2710955863615	1.34035556365433	0.683891338758708	1.67422463127983	0.406383187372953	4.11102857662422	2.41893603633958	2.14667005365347	3.78587195780622	1.02513927156099	3.14309537773273	2.68536167273279	3.17918946081228	0.167956305944157	0
Train.GSE7669_GSM183695_Treat	1.76325096332522	0.460784718947366	5.58856531152081	5.61268194645354	2.17475431617691	5.63386712158136	2.62963036510277	3.49846944961114	3.60955737664979	0.974221405875403	2.98464562498149	1.131422990261	3.10792916870458	3.64285353421816	4.73591737770641	3.1832374091291	2.41238623802593	3.15773809736699	4.35831004545085	1.67106772938846	1
Train.GSE7669_GSM185526_Treat	2.49783587575802	1.20392030781286	5.55124752514836	5.13402895919062	2.93450909468715	5.25006204703866	3.19379202887288	1.5660511836712	2.85568026085337	2.3437382915252	2.81077528345286	3.19452488081867	5.14978284700951	2.92856851207788	3.89771058856639	3.16150176116821	4.70511055535357	3.35812780710372	4.55604057938675	0.608504215802393	1
Train.GSE7669_GSM185527_Treat	2.13849586101106	-0.387596304882873	4.82748731384187	4.46219914563566	1.99335322683635	5.18100640293427	3.11578847243974	0.877870247196372	0.665132676155632	3.41416569500457	1.18745260531254	3.65141099375107	4.89896168893664	-0.529641947862303	4.4713201620332	0.340839585266366	2.92298453280871	2.77710314213797	4.34290757381082	0.994192172182419	1
Train.GSE7669_GSM185528_Treat	3.28382891233348	3.41409242296524	4.80229748263249	4.34567672970889	2.11574241538692	3.96377694938555	2.5049387571805	2.48711349320626	2.60544028747892	3.17452384295563	2.67336258033841	1.11142877182166	3.56444039754105	1.32578405853773	4.6974539007307	1.34680362101918	2.29075529563448	3.04454578353968	4.86328877965727	-0.636141059355403	1
Train.GSE7669_GSM185529_Treat	3.90789412519173	0.732940243510843	5.25402476350024	4.97506182275273	2.35248183186661	3.62234051940513	2.99864450336917	2.763771305805	2.07004814126712	3.21918439788568	2.84785555366945	2.42548164190505	3.85967859407682	0.607860575061234	5.21523153851661	1.27763104401135	3.2046970715993	3.60443248008824	4.5295883125031	0.684018997147838	1
Train.GSE7669_GSM185530_Treat	3.33381423544645	2.25195789633151	5.31508350208118	4.52649447427686	3.72613894729049	5.42728588460819	3.14869033613848	2.804350757503	2.42403040140599	3.05838815334803	0.0127073913155626	0.848613244362084	4.26216412714524	4.42842486762858	4.71376313697906	3.31395263380437	2.98948447942253	3.33476039238959	3.7828305775438	0.91918846617135	1
