id	GSM3354765_Control	GSM3354767_Control	GSM3354769_Control	GSM3354771_Control	GSM3354766_Treat	GSM3354768_Treat	GSM3354770_Treat	GSM3354772_Treat
ACADM	11.0008378241507	10.9539074956985	11.0176407015979	11.1226243233008	11.069222816861	10.8608570902523	11.1101845510794	11.1418559730434
ACADS	7.63878311971788	7.67739940664861	7.40522380814106	7.83488405880133	7.97040159499302	7.84231880904291	8.31637535431011	7.93062590466778
ACADSB	8.60368142559895	8.43788849395789	8.47899461151963	9.01590536068826	8.77663649200742	8.37004051960447	8.30095990849917	8.57402790205165
ACADVL	11.0945997221254	11.2742093137833	11.441730330012	11.3614455977179	11.1636905289705	11.4010170727925	11.5756042971223	11.3674595522161
ACAN	8.6397516964155	8.40227521157969	9.5121124490621	7.51339702294977	8.92966234088111	8.42365284994432	9.48254402457802	7.44721659723287
ACAP1	5.38049047959002	5.72844392334412	5.35392350477615	5.27053123534478	5.61711345177656	5.34755367210188	3.38166324786758	5.32790653909583
ACAP2	10.3621284180778	10.281475244723	10.4461628897673	10.9056385253433	10.5861593636986	10.2458342724588	10.6202313986628	10.5454629750746
ACAP3	7.01827544308088	7.04152979126791	6.93435083372953	7.26623908658258	6.90524043198276	7.37665611995044	7.11831346370728	7.28601800664868
ACAT1	10.8720542781013	10.714779384505	10.2307365594072	11.0282346451419	10.7680788834757	10.763181377741	10.2307365594072	11.1042959273973
ACAT2	9.88160680139723	9.72457569219863	9.94673565294194	9.39517674174921	9.81543552150023	9.447298872263	10.084232917643	9.60068608280704
ACBD3	11.3380323654555	11.4053349060509	11.3325084607085	11.4978393478288	11.2692234564233	11.4241678791034	11.4570094500326	11.5425075244304
ACBD4	6.39853048761066	6.57349936661154	5.89826582564813	6.44028444018808	6.2582533202708	4.49290132461858	5.3405593927743	5.6051265592522
ACBD5	10.4679430179454	10.5698717769739	10.5679465492921	10.6899208748535	10.6434563573049	10.6167274195107	10.6381358539398	10.5232851652843
ACBD6	10.6220570639981	10.6680786470586	10.6220570639981	10.3885823371918	10.6689256895397	10.535913109718	10.612168223014	10.6498470419421
ACCS	6.60188756381884	7.64319053899256	8.22569311626315	8.34196490700597	6.96727638601603	8.21570205197036	8.35389779792268	8.25205166784548
ACD	8.99946465021001	8.68803767762349	8.38903589423878	8.76709442438224	9.20045450406899	8.77286813966849	8.59154482062301	9.02966354159195
ACE	5.65739287112085	6.19298408096102	4.37016492222733	7.59767703527643	5.4678053951234	5.92157507963776	4.97264615376896	8.04711129528383
ACE2	4.59008822092272	2.30781738477915	3.80254103263863	2.73392520181917	4.95907550897807	2.99115713636435	3.67589100763337	3.37519837836161
