id	GSM265436_Control	GSM265439_Control	GSM265445_Control	GSM389705_Control	GSM389707_Control	GSM389709_Control	GSM389710_Control	GSM389712_Control	GSM389713_Control	GSM389715_Control	GSM389718_Control	GSM389720_Control	GSM389723_Control	GSM389725_Control	GSM389728_Control	GSM389729_Control	GSM389732_Control	GSM389734_Control	GSM185531_Control	GSM185532_Control	GSM185533_Control	GSM185534_Control	GSM185535_Control	GSM185536_Control	GSM265020_Treat	GSM265036_Treat	GSM265361_Treat	GSM265363_Treat	GSM265366_Treat	GSM389703_Treat	GSM389704_Treat	GSM389706_Treat	GSM389708_Treat	GSM389711_Treat	GSM389714_Treat	GSM389716_Treat	GSM389717_Treat	GSM389719_Treat	GSM389721_Treat	GSM389722_Treat	GSM389724_Treat	GSM389726_Treat	GSM389727_Treat	GSM389730_Treat	GSM389731_Treat	GSM389733_Treat	GSM389735_Treat	GSM183695_Treat	GSM185526_Treat	GSM185527_Treat	GSM185528_Treat	GSM185529_Treat	GSM185530_Treat
RALGDS	9.356171	8.941718	9.191907	9.59287	9.577737	9.748924	9.683981	8.819269	9.516224	8.136417	9.489683	8.705782	9.146025	8.955873	9.387437	8.106692	8.539461	9.558044	8.49328	8.570959	8.131507	8.125249	9.64206	9.844594	7.500688	9.252557	8.100541	9.303027	7.568486	8.400919	8.878646	8.332755	8.631414	7.604882	9.499622	8.678992	7.191687	8.433258	8.863992	7.888472	8.477602	7.47816	8.316057	8.83551	6.974829	8.848474	8.388392	9.002572	8.671023	9.05806	7.790839	9.189411	7.456052
CD96	7.623294	7.781834	6.513276	7.742813	8.276097	8.512641	9.32885	8.071144	8.663623	7.827042	8.369234	8.663623	7.811583	7.560968	7.947766	7.699829	7.884863	8.661197	7.612633	8.257011	6.52098	8.447235	8.571951	8.112401	9.010921	8.092747	8.487503	6.634954	6.4325	7.881655	7.874512	5.499066	7.661769	6.927793	7.139464	7.60672	6.506786	6.652664	7.752211	5.902128	7.670291	6.80725	7.041933	6.972899	5.7906	8.430986	7.198006	7.815024	6.599006	6.715424	8.566389	6.487484	7.103614
IL18R1	7.54638	7.171879	6.464747	6.994881	7.262455	7.375497	7.060292	7.115677	7.438725	7.719083	7.515797	7.361119	7.584713	7.0965	7.342877	6.868391	7.776505	7.305142	7.320819	7.221886	7.068351	7.364457	7.054321	6.470467	8.192995	8.167825	8.087535	7.61421	7.25102	7.472017	6.900121	9.210269	7.041462	9.682153	7.225322	7.931675	8.796339	7.230379	7.06332	8.760636	6.899551	7.736711	7.281041	6.608363	8.836612	7.606163	7.50899	7.754189	8.287283	8.213575	7.636364	8.102882	8.244665
RPS24	11.746316	11.947759	11.519074	11.0058	11.633588	11.644567	10.970942	11.54693	11.209264	10.711772	12.067039	11.332592	10.961445	11.388555	11.503121	10.895316	11.07207	11.165705	11.953232	12.064473	11.463355	11.596548	11.662765	11.511718	11.881394	12.011237	12.021629	11.613832	11.718364	13.52034	12.554885	11.463358	11.887403	10.842189	12.220885	13.181543	12.198907	11.828027	12.437139	11.333916	11.068734	13.27741	12.716729	11.233114	11.676447	13.692413	11.791157	11.577967	11.534646	12.156605	11.984768	12.220273	11.546522
UCP2	10.690498	11.168565	11.630582	10.753138	10.345429	10.572724	9.703927	10.919243	9.688607	10.42584	10.017247	9.966754	10.967755	10.771852	10.665198	10.572724	11.019258	11.192278	10.705141	10.138425	11.146572	10.312211	10.419228	10.991681	9.815997	9.578616	9.766103	10.324858	9.637803	9.645529	10.668775	10.192304	11.050219	9.648028	10.283081	9.34249	9.098514	11.485871	10.1952	10.1652	10.955093	8.31042	10.079551	10.939172	9.786777	9.504917	10.630135	9.82885	10.054269	9.575269	10.136343	10.262762	9.818698
CPSF1	10.004091	10.47985	10.183523	9.56916	9.787707	9.260958	10.650065	9.959601	9.622773	9.552762	9.08204	9.689281	8.413385	10.009784	9.0983	8.177429	9.538633	10.086419	8.313504	9.825901	9.089712	8.559757	9.883659	9.388586	9.472132	8.051385	8.073537	8.518652	8.173705	9.413346	10.051671	9.090838	8.510464	8.337845	9.251688	8.050178	6.885037	9.048612	9.2231	8.927425	10.378116	8.766625	8.218165	9.476563	8.08172	8.267221	8.419364	8.364557	9.458729	8.939185	8.436672	9.507836	9.699333
ARG1	5.554794	6.992853	5.544138	5.490677	5.721485	5.928365	5.712088	5.809595	5.823912	5.397925	5.552505	5.942519	5.650148	5.555019	5.774853	5.737855	5.847132	5.427071	6.100672	6.948528	6.817507	5.979249	7.329753	5.467745	7.192434	6.612937	6.969127	5.890144	5.850735	6.394325	6.702931	8.834051	6.589368	8.341176	6.463778	6.989252	7.366618	6.271763	5.692507	7.496188	5.416292	7.447988	6.021425	5.975471	8.209416	7.007752	6.462459	5.698793	6.153414	5.179787	7.50551	5.865287	6.794562
VNN1	5.963531	7.803603	7.550223	6.00276	6.87481	6.672274	6.00445	6.907832	6.417759	6.43702	6.337022	7.809525	7.335223	6.655749	6.93694	6.266775	6.872346	6.11839	6.332475	7.065011	7.578721	6.614033	5.935231	6.925882	7.640106	7.84793	7.563323	6.195605	6.479858	8.396243	7.189175	8.737492	6.870874	8.613836	6.512681	8.559462	6.721669	6.726096	7.970559	8.977413	6.199567	7.97224	8.026462	6.488638	7.995251	7.311344	6.187789	8.472888	7.379295	7.776246	6.098303	7.457015	7.699052
COX7C	11.402771	11.153177	11.542567	9.768625	10.827915	11.27758	10.300025	10.878584	10.010857	9.616141	11.129295	10.552657	10.310322	10.634422	11.201336	9.764935	9.84178	10.272959	11.12954	11.462362	11.321663	10.671381	10.750246	10.492473	10.675973	10.708546	10.5926	11.314065	10.906989	12.795899	11.865205	10.928107	11.884491	10.328069	11.697803	12.22222	11.512889	11.26254	11.878416	10.56983	11.039814	12.250212	11.605517	10.477763	10.986331	12.706259	10.608739	10.701807	10.856522	11.025653	11.520293	11.21008	11.007166
PASK	7.921082	7.648484	7.686689	7.158209	7.56315	8.233062	8.723671	7.968502	8.575253	7.800818	8.046151	8.110042	7.350314	7.288108	8.214603	7.555048	8.078312	7.473955	7.973763	7.415826	7.130572	7.791451	7.896837	7.02462	8.302757	7.260068	7.622688	6.51444	6.641362	7.317867	7.441787	6.054043	7.617798	6.877408	6.585623	7.676618	6.83983	6.644036	7.956694	7.155253	6.974066	6.994161	6.662358	7.757432	6.158184	8.908027	6.411368	7.663374	5.651444	8.042474	7.984325	7.73055	7.068648
CD4	8.62147	9.143762	8.68201	8.650182	7.342941	7.311658	8.213152	8.181132	7.984695	8.390807	7.526627	7.734531	8.11534	8.322849	7.795465	8.831344	8.778516	8.090656	8.2168	7.310329	7.280946	8.123537	7.555138	7.394625	6.672083	7.403687	6.99186	7.503724	7.246446	6.879974	7.473596	6.558197	7.449557	6.856345	7.544094	7.21574	5.775381	8.717046	7.736389	7.685882	8.515197	7.300027	7.256477	8.736547	7.368422	6.716125	8.342734	8.266846	8.220974	7.331309	7.300345	7.85562	7.930675
GEM	7.927622	6.119193	5.619102	8.615111	8.767394	8.071326	7.735391	8.154564	8.264605	8.154564	8.167282	7.655849	8.430782	8.261548	8.287742	7.781919	8.456794	8.516823	7.073153	7.91543	9.122012	9.02287	7.468953	7.475667	9.903034	8.764799	9.739744	9.394213	9.373831	8.497444	8.103913	8.350669	8.304798	8.284858	8.520081	8.02402	8.617592	8.718126	8.633208	7.99583	8.45558	7.848153	8.383563	8.541227	8.448991	8.410175	7.867336	8.510815	8.621679	9.08461	7.984465	8.786941	8.547069
